600577.SH,精达股份
600810.SH,神马股份
600811.SH,东方集团
600210.SH,紫江企业
600211.SH,西藏药业
600213.SH,亚星客车
600216.SH,浙江医药
600218.SH,全柴动力
600219.SH,南山铝业
600220.SH,江苏阳光
600579.SH,天华院
600580.SH,卧龙电气
600582.SH,天地科技
600583.SH,海油工程
600585.SH,海螺水泥
600586.SH,金晶科技
600587.SH,新华医疗
600588.SH,用友网络
600590.SH,泰豪科技
600202.SH,哈空调
600203.SH,福日电子
600206.SH,有研新材
600207.SH,安彩高科
600208.SH,新湖中宝
600209.SH,罗顿发展
600523.SH,贵航股份
600526.SH,菲达环保
600529.SH,山东药玻
600530.SH,交大昂立
600531.SH,豫光金铅
600532.SH,宏达矿业
600533.SH,栖霞建设
600535.SH,天士力
600536.SH,中国软件
600538.SH,国发股份
600222.SH,太龙药业
600223.SH,鲁商置业
600227.SH,赤天化
600894.SH,广日股份
600895.SH,张江高科
600591.SH,*ST上航
600592.SH,龙溪股份
600593.SH,大连圣亚
600595.SH,中孚实业
600596.SH,新安股份
600597.SH,光明乳业
601288.SH,农业银行
601939.SH,建设银行
600376.SH,首开股份
600377.SH,宁沪高速
600378.SH,天科股份
600379.SH,宝光股份
600380.SH,健康元
600382.SH,广东明珠
600383.SH,金地集团
600386.SH,北巴传媒
600548.SH,深高速
601398.SH,工商银行
600480.SH,凌云股份
600348.SH,阳泉煤业
600487.SH,亨通光电
600547.SH,山东黄金
600449.SH,宁夏建材
600429.SH,三元股份
600478.SH,科力远
600507.SH,方大特钢
600517.SH,置信电气
600406.SH,国电南瑞
600021.SH,上海电力
600271.SH,航天信息
600475.SH,华光股份
600029.SH,南方航空
600352.SH,浙江龙盛
600485.SH,信威集团
600020.SH,中原高速
600489.SH,中金黄金
601166.SH,兴业银行
600184.SH,光电股份
600477.SH,杭萧钢构
600900.SH,长江电力
600389.SH,江山股份
600395.SH,盘江股份
600320.SH,振华重工
900948.SH,伊泰B股
900949.SH,东电B股
900953.SH,凯马B
900956.SH,东贝B股
900957.SH,凌云B股
600396.SH,金山股份
600397.SH,安源煤业
600398.SH,海澜之家
600065.SH,*ST联谊
600066.SH,宇通客车
600068.SH,葛洲坝
600070.SH,浙江富润
600573.SH,惠泉啤酒
600549.SH,厦门钨业
600551.SH,时代出版
600553.SH,太行水泥
600557.SH,康缘药业
600558.SH,大西洋
600559.SH,老白干酒
600560.SH,金自天正
600563.SH,法拉电子
600565.SH,迪马股份
600687.SH,刚泰控股
600566.SH,济川药业
600567.SH,山鹰纸业
600569.SH,安阳钢铁
600521.SH,华海药业
600370.SH,三房巷
600513.SH,联环药业
600039.SH,四川路桥
600575.SH,皖江物流
600343.SH,航天动力
600502.SH,安徽水利
600481.SH,双良节能
600004.SH,白云机场
600392.SH,盛和资源
600584.SH,长电科技
600251.SH,冠农股份
600436.SH,片仔癀
600409.SH,三友化工
600433.SH,冠豪高新
600490.SH,鹏欣资源
600677.SH,航天通信
600678.SH,四川金顶
600098.SH,广州发展
600099.SH,林海股份
600100.SH,同方股份
600232.SH,金鹰股份
600235.SH,民丰特纸
600236.SH,桂冠电力
600237.SH,铜峰电子
600238.SH,海南椰岛
600239.SH,云南城投
600241.SH,时代万恒
600246.SH,万通地产
600248.SH,延长化建
600250.SH,南纺股份
600252.SH,中恒集团
600699.SH,均胜电子
600682.SH,南京新百
600684.SH,珠江实业
600686.SH,金龙汽车
600027.SH,华电国际
600970.SH,中材国际
600472.SH,包头铝业
600073.SH,上海梅林
600077.SH,宋都股份
600078.SH,澄星股份
600079.SH,人福医药
600080.SH,金花股份
600081.SH,东风科技
600082.SH,海泰发展
600083.SH,博信股份
600084.SH,中葡股份
600476.SH,湘邮科技
600446.SH,金证股份
600354.SH,敦煌种业
600231.SH,凌钢股份
600459.SH,贵研铂业
600688.SH,上海石化
601998.SH,中信银行
600089.SH,特变电工
600092.SH,S*ST精密
600094.SH,大名城
900940.SH,大名城B
600096.SH,云天化
600097.SH,开创国际
600012.SH,皖通高速
600452.SH,涪陵电力
600101.SH,明星电力
600102.SH,莱钢股份
600103.SH,青山纸业
600470.SH,六国化工
600035.SH,楚天高速
600479.SH,千金药业
600284.SH,浦东建设
600463.SH,空港股份
600594.SH,益佰制药
600543.SH,莫高股份
600405.SH,动力源
600467.SH,好当家
600960.SH,渤海活塞
600572.SH,康恩贝
600717.SH,天津港
600718.SH,东软集团
600719.SH,大连热电
600720.SH,祁连山
600723.SH,首商股份
600724.SH,宁波富达
600726.SH,华电能源
900937.SH,华电B股
600727.SH,鲁北化工
600771.SH,广誉远
600772.SH,S*ST龙昌
600773.SH,西藏城投
600774.SH,汉商集团
600775.SH,南京熊猫
900941.SH,东信B股
600776.SH,东方通信
600778.SH,友好集团
600780.SH,通宝能源
600781.SH,辅仁药业
600782.SH,新钢股份
600783.SH,鲁信创投
600006.SH,东风汽车
600007.SH,中国国贸
600008.SH,首创股份
600661.SH,新南洋
600662.SH,强生控股
600663.SH,陆家嘴
900932.SH,陆家B股
600664.SH,哈药股份
600667.SH,太极实业
600668.SH,尖峰集团
600669.SH,*ST鞍成
600670.SH,*ST斯达
600671.SH,天目药业
600648.SH,外高桥
900912.SH,外高B股
600728.SH,佳都科技
600729.SH,重庆百货
600730.SH,中国高科
600734.SH,实达集团
600735.SH,新华锦
600736.SH,苏州高新
600738.SH,兰州民百
600739.SH,辽宁成大
600741.SH,华域汽车
600742.SH,一汽富维
600743.SH,华远地产
600744.SH,华银电力
600789.SH,鲁抗医药
600790.SH,轻纺城
600791.SH,京能置业
600792.SH,云煤能源
600795.SH,国电电力
600796.SH,钱江生化
600797.SH,浙大网新
600798.SH,宁波海运
600518.SH,康美药业
600519.SH,贵州茅台
600522.SH,中天科技
600000.SH,浦发银行
600001.SH,邯郸钢铁
600649.SH,城投控股
900914.SH,锦投B股
600650.SH,锦江投资
600651.SH,飞乐音响
600653.SH,申华控股
600657.SH,信达地产
600658.SH,电子城
600659.SH,*ST花雕
600660.SH,福耀玻璃
900931.SH,PT水仙B
600625.SH,PT水仙
600626.SH,申达股份
600627.SH,上电股份
600628.SH,新世界
600630.SH,龙头股份
600631.SH,百联股份
600632.SH,华联商厦
600716.SH,凤凰股份
600028.SH,中国石化
600495.SH,晋西车轴
600483.SH,福能股份
600461.SH,洪城水业
600997.SH,开滦股份
600966.SH,博汇纸业
600975.SH,新五丰
600991.SH,广汽长丰
600995.SH,文山电力
600420.SH,现代制药
600300.SH,维维股份
600784.SH,鲁银投资
600786.SH,东方锅炉
600787.SH,中储股份
600788.SH,*ST达曼
600516.SH,方大炭素
600638.SH,新黄浦
600639.SH,浦东金桥
900911.SH,金桥B股
600640.SH,号百控股
600641.SH,万业企业
600642.SH,申能股份
600646.SH,ST国嘉
600647.SH,同达创业
600983.SH,惠而浦
600973.SH,宝胜股份
600987.SH,航民股份
600971.SH,恒源煤电
600350.SH,山东高速
600351.SH,亚宝药业
600353.SH,旭光股份
600355.SH,精伦电子
600833.SH,第一医药
600834.SH,申通地铁
600762.SH,S*ST金荔
600763.SH,通策医疗
